Time,PPG,ECG,resp
0,0.537634409,0.42578125,-0.029339853
0.008,0.534701857,0.404296875,-0.036674817
0.016,0.531769306,0.400390625,-0.04400978
0.024,0.528836755,0.400390625,-0.053789731
0.032,0.524926686,0.419921875,-0.061124694
0.04,0.520039101,0.42578125,-0.068459658
0.048,0.515151515,0.435546875,-0.073349633
0.056,0.509286413,0.42578125,-0.080684597
0.064,0.504398827,0.42578125,-0.085574572
0.072,0.500488759,0.419921875,-0.08801956
0.08,0.497556207,0.435546875,-0.092909535
0.088,0.495601173,0.42578125,-0.097799511
0.096,0.494623656,0.416015625,-0.100244499
0.104,0.494623656,0.39453125,-0.105134474
0.112,0.494623656,0.37109375,-0.107579462
0.12,0.495601173,0.365234375,-0.11002445
0.128,0.49657869,0.375,-0.114914425
0.136,0.497556207,0.380859375,-0.117359413
0.144,0.497556207,0.37109375,-0.119804401
0.152,0.495601173,0.39453125,-0.122249389
0.16,0.492668622,0.42578125,-0.124694377
0.168,0.488758553,0.44921875,-0.127139364
0.176,0.483870968,0.474609375,-0.129584352
0.184,0.476050831,0.494140625,-0.13202934
0.192,0.467253177,0.515625,-0.136919315
0.2,0.456500489,0.53515625,-0.139364303
0.208,0.444770283,0.5390625,-0.141809291
0.216,0.433040078,0.5390625,-0.144254279
0.224,0.421309873,0.5390625,-0.149144254
0.232,0.411534702,0.529296875,-0.151589242
0.24,0.401759531,0.51953125,-0.15403423
0.248,0.392961877,0.515625,-0.156479218
0.256,0.386119257,0.51953125,-0.158924205
0.264,0.380254154,0.509765625,-0.161369193
0.272,0.375366569,0.5,-0.166259169
0.28,0.370478983,0.529296875,-0.168704156
0.288,0.365591398,0.490234375,-0.171149144
0.296,0.361681329,0.470703125,-0.173594132
0.304,0.357771261,0.494140625,-0.17603912
0.312,0.35483871,0.509765625,-0.178484108
0.32,0.352883675,0.51953125,-0.180929095
0.328,0.350928641,0.53515625,-0.180929095
0.336,0.349951124,0.5390625,-0.183374083
0.344,0.348973607,0.529296875,-0.185819071
0.352,0.348973607,0.51953125,-0.188264059
0.36,0.34799609,0.51953125,-0.188264059
0.368,0.34799609,0.51953125,-0.190709046
0.376,0.34799609,0.509765625,-0.193154034
0.384,0.346041056,0.509765625,-0.193154034
0.392,0.345063539,0.505859375,-0.195599022
0.4,0.344086022,0.515625,-0.195599022
0.408,0.342130987,0.470703125,-0.19804401
0.416,0.339198436,0.490234375,-0.200488998
0.424,0.337243402,0.515625,-0.202933985
0.432,0.336265885,0.525390625,-0.205378973
0.44,0.335288368,0.494140625,-0.207823961
0.448,0.337243402,0.48046875,-0.210268949
0.456,0.340175953,0.470703125,-0.212713936
0.464,0.345063539,0.494140625,-0.215158924
0.472,0.351906158,0.515625,-0.217603912
0.48,0.360703812,0.53515625,-0.2200489
0.488,0.372434018,0.5546875,-0.2200489
0.496,0.386119257,0.544921875,-0.222493888
0.504,0.401759531,0.5390625,-0.224938875
0.512,0.419354839,0.525390625,-0.224938875
0.52,0.436950147,0.5,-0.227383863
0.528,0.455522972,0.490234375,-0.227383863
0.536,0.475073314,0.494140625,-0.229828851
0.544,0.493646139,0.484375,-0.229828851
0.552,0.512218964,0.46484375,-0.232273839
0.56,0.529814272,0.474609375,-0.232273839
0.568,0.543499511,0.46484375,-0.232273839
0.576,0.556207234,0.44921875,-0.232273839
0.584,0.568914956,0.515625,-0.232273839
0.592,0.581622678,0.779296875,-0.232273839
0.6,0.592375367,1.16015625,-0.232273839
0.608,0.601173021,1.18359375,-0.229828851
0.616,0.607038123,0.830078125,-0.227383863
0.624,0.608993157,0.560546875,-0.227383863
0.632,0.60801564,0.42578125,-0.224938875
0.64,0.603128055,0.416015625,-0.222493888
0.648,0.596285435,0.470703125,-0.2200489
0.656,0.587487781,0.46484375,-0.2200489
0.664,0.57771261,0.505859375,-0.215158924
0.672,0.568914956,0.474609375,-0.212713936
0.68,0.559139785,0.455078125,-0.207823961
0.688,0.550342131,0.439453125,-0.205378973
0.696,0.542521994,0.4609375,-0.200488998
0.704,0.536656891,0.470703125,-0.195599022
0.712,0.532746823,0.400390625,-0.193154034
0.72,0.529814272,0.4453125,-0.188264059
0.728,0.52688172,0.4609375,-0.183374083
0.736,0.523949169,0.419921875,-0.17603912
0.744,0.521994135,0.439453125,-0.168704156
0.752,0.518084066,0.419921875,-0.161369193
0.76,0.514173998,0.4296875,-0.15403423
0.768,0.509286413,0.400390625,-0.144254279
0.776,0.505376344,0.39453125,-0.134474328
0.784,0.500488759,0.404296875,-0.124694377
0.792,0.49657869,0.400390625,-0.114914425
0.8,0.493646139,0.380859375,-0.105134474
0.808,0.48973607,0.404296875,-0.095354523
0.816,0.485826002,0.490234375,-0.085574572
0.824,0.482893451,0.505859375,-0.073349633
0.832,0.478983382,0.470703125,-0.063569682
0.84,0.477028348,0.484375,-0.048899756
0.848,0.474095797,0.509765625,-0.036674817
0.856,0.471163245,0.560546875,-0.024449878
0.864,0.467253177,0.515625,-0.009779951
0.872,0.464320626,0.494140625,0.002444988
0.88,0.460410557,0.515625,0.014669927
0.888,0.456500489,0.544921875,0.031784841
0.896,0.450635386,0.529296875,0.046454768
0.904,0.443792766,0.509765625,0.063569682
0.912,0.436950147,0.5,0.080684597
0.92,0.42913001,0.494140625,0.100244499
0.928,0.421309873,0.505859375,0.119804401
0.936,0.414467253,0.484375,0.141809291
0.944,0.407624633,0.490234375,0.161369193
0.952,0.400782014,0.494140625,0.180929095
0.96,0.393939394,0.490234375,0.200488998
0.968,0.389051808,0.509765625,0.217603912
0.976,0.384164223,0.525390625,0.234718826
0.984,0.379276637,0.53515625,0.251833741
0.992,0.374389052,0.529296875,0.271393643
1,0.369501466,0.529296875,0.288508557
1.008,0.363636364,0.525390625,0.30806846
1.016,0.358748778,0.544921875,0.325183374
1.024,0.353861193,0.51953125,0.342298289
1.032,0.34799609,0.515625,0.356968215
1.04,0.343108504,0.529296875,0.371638142
1.048,0.337243402,0.515625,0.386308068
1.056,0.333333333,0.515625,0.400977995
1.064,0.330400782,0.505859375,0.413202934
1.072,0.327468231,0.505859375,0.427872861
1.08,0.323558162,0.505859375,0.442542787
1.088,0.320625611,0.505859375,0.454767726
1.096,0.316715543,0.494140625,0.466992665
1.104,0.312805474,0.484375,0.479217604
1.112,0.308895406,0.48046875,0.491442543
1.12,0.304985337,0.5,0.501222494
1.128,0.302052786,0.509765625,0.511002445
1.136,0.301075269,0.525390625,0.518337408
1.144,0.302052786,0.529296875,0.528117359
1.152,0.305962854,0.544921875,0.535452323
1.16,0.311827957,0.55078125,0.542787286
1.168,0.319648094,0.560546875,0.550122249
1.176,0.329423265,0.5390625,0.555012225
1.184,0.342130987,0.525390625,0.5599022
1.192,0.356793744,0.515625,0.564792176
1.2,0.372434018,0.494140625,0.567237164
1.208,0.388074291,0.484375,0.567237164
1.216,0.404692082,0.71484375,0.567237164
1.224,0.421309873,1.08984375,0.564792176
1.232,0.436950147,1.21875,0.562347188
1.24,0.45259042,0.958984375,0.557457213
1.248,0.467253177,0.640625,0.552567237
1.256,0.481915934,0.41015625,0.547677262
1.264,0.492668622,0.380859375,0.540342298
1.272,0.502443793,0.41015625,0.533007335
1.28,0.512218964,0.400390625,0.525672372
1.288,0.521994135,0.384765625,0.515892421
1.296,0.529814272,0.39453125,0.506112469
1.304,0.535679374,0.404296875,0.496332518
1.312,0.539589443,0.416015625,0.486552567
1.32,0.54056696,0.42578125,0.474327628
1.328,0.539589443,0.4453125,0.462102689
1.336,0.537634409,0.44921875,0.452322738
1.344,0.534701857,0.4609375,0.4400978
1.352,0.529814272,0.4453125,0.430317848
1.36,0.524926686,0.42578125,0.420537897
1.368,0.521016618,0.404296875,0.410757946
1.376,0.516129032,0.39453125,0.398533007
1.384,0.511241447,0.400390625,0.388753056
1.392,0.505376344,0.404296875,0.378973105
1.4,0.501466276,0.400390625,0.369193154
1.408,0.497556207,0.400390625,0.359413203
1.416,0.494623656,0.39453125,0.349633252
1.424,0.502443793,0.375,0.339853301
1.432,0.516129032,0.380859375,0.33007335
1.44,0.521016618,0.400390625,0.320293399
1.448,0.521994135,0.416015625,0.312958435
1.456,0.521016618,0.4296875,0.305623472
1.464,0.518084066,0.4609375,0.295843521
1.472,0.516129032,0.4609375,0.28606357
1.48,0.514173998,0.470703125,0.273838631
1.488,0.511241447,0.48046875,0.26405868
1.496,0.507331378,0.470703125,0.251833741
1.504,0.504398827,0.474609375,0.24205379
1.512,0.500488759,0.5,0.232273839
1.52,0.49657869,0.525390625,0.2200489
1.528,0.491691105,0.529296875,0.207823961
1.536,0.486803519,0.51953125,0.195599022
1.544,0.480938416,0.509765625,0.180929095
1.552,0.475073314,0.505859375,0.163814181
1.56,0.468230694,0.505859375,0.149144254
1.568,0.462365591,0.490234375,0.13202934
1.576,0.456500489,0.470703125,0.114914425
1.584,0.450635386,0.48046875,0.097799511
1.592,0.444770283,0.474609375,0.083129584
1.6,0.437927664,0.48046875,0.068459658
1.608,0.431085044,0.48046875,0.053789731
1.616,0.424242424,0.474609375,0.041564792
1.624,0.418377322,0.484375,0.026894866
1.632,0.412512219,0.474609375,0.012224939
1.64,0.408602151,0.494140625,0
1.648,0.403714565,0.505859375,-0.014669927
1.656,0.398826979,0.5,-0.026894866
1.664,0.394916911,0.494140625,-0.039119804
1.672,0.39198436,0.470703125,-0.048899756
1.68,0.388074291,0.470703125,-0.058679707
1.688,0.384164223,0.505859375,-0.070904645
1.696,0.380254154,0.529296875,-0.080684597
1.704,0.377321603,0.53515625,-0.090464548
1.712,0.374389052,0.53515625,-0.100244499
1.72,0.3714565,0.51953125,-0.11002445
1.728,0.370478983,0.509765625,-0.119804401
1.736,0.368523949,0.515625,-0.127139364
1.744,0.367546432,0.509765625,-0.134474328
1.752,0.367546432,0.51953125,-0.141809291
1.76,0.369501466,0.509765625,-0.149144254
1.768,0.3714565,0.515625,-0.156479218
1.776,0.375366569,0.505859375,-0.161369193
1.784,0.381231672,0.509765625,-0.166259169
1.792,0.390029326,0.515625,-0.171149144
